,DBN,school_name,Borough,lat_long,lat,long
275,11X542,Pelham Preparatory Academy,Bronx,"(40.859698316, -73.860741404)",40.85969832,-73.8607414
276,03M403,The Global Learning Collaborative,Manhattan,"(40.785743157, -73.974415228)",40.78574316,-73.97441523
277,09X517,Frederick Douglass Academy III Secondary School,Bronx,"(40.83416725, -73.904032948)",40.83416725,-73.90403295
278,04M409,Coalition School for Social Change,Manhattan,"(40.798865182001, -73.933365597)",40.79886518,-73.9333656
279,31R450,Curtis High School,Staten Island,"(40.644744901, -74.081341274)",40.6447449,-74.08134127
280,09X505,"Bronx School for Law, Government and Justice",Bronx,"(40.827589367, -73.91866816)",40.82758937,-73.91866816
281,24Q296,Pan American International High School,Queens,"(40.743302873, -73.870574977)",40.74330287,-73.87057498
282,17K547,Brooklyn Academy of Science and the Environment,Brooklyn,"(40.670298907, -73.961647876)",40.67029891,-73.96164788
283,02M411,Baruch College Campus High School,Manhattan,"(40.744047248, -73.991479299)",40.74404725,-73.9914793
284,31R445,Port Richmond High School,Staten Island,"(40.633842987, -74.142106889)",40.63384299,-74.14210689
285,09X525,Bronx Leadership Academy High School,Bronx,"(40.843581195, -73.903220038)",40.8435812,-73.90322004
286,10X524,Crotona International High School,Bronx,"(40.85592271, -73.88257898)",40.85592271,-73.88257898
287,02M047,47 The American Sign Language and English Secondary School,Manhattan,"(40.738599087, -73.982511911)",40.73859909,-73.98251191
288,11X275,High School of Computers and Technology,Bronx,"(40.875754211, -73.861387834)",40.87575421,-73.86138783
289,04M435,Manhattan Center for Science and Mathematics,Manhattan,"(40.793741706, -73.934084142)",40.79374171,-73.93408414
290,24Q267,High School of Applied Communication,Queens,"(40.745093519, -73.936813898)",40.74509352,-73.9368139
291,19K510,World Academy for Total Community Health High School,Brooklyn,"(40.667553111, -73.894800537)",40.66755311,-73.89480054
292,12X478,THE CINEMA SCHOOL,Bronx,"(40.831364532, -73.878344675)",40.83136453,-73.87834468
293,09X413,Bronx High School for Medical Science,Bronx,"(40.840373398, -73.910838008)",40.8403734,-73.91083801
294,22K611,Origins High School,Brooklyn,"(40.594192997, -73.936838096)",40.594193,-73.9368381
295,17K745,Brooklyn Institute for Liberal Arts,Brooklyn,"(40.659517006001, -73.942546499)",40.65951701,-73.9425465
296,26Q435,Martin Van Buren High School,Queens,"(40.732817109, -73.739650413)",40.73281711,-73.73965041
297,27Q324,Rockaway Park High School for Environmental Sustainability,Queens,"(40.586007187, -73.823089444)",40.58600719,-73.82308944
298,30Q502,Information Technology High School,Queens,"(40.747923523, -73.946565659)",40.74792352,-73.94656566
299,28Q505,Hillcrest High School,Queens,"(40.708757555, -73.802127486)",40.70875756,-73.80212749
300,17K751,Academy for Health Careers,Brooklyn,"(40.675402307, -73.938881176)",40.67540231,-73.93888118
301,32K554,All City Leadership Secondary School,Brooklyn,"(40.697407796, -73.913153462)",40.6974078,-73.91315346
302,07X551,The Urban Assembly Bronx Academy of Letters,Bronx,"(40.813359303, -73.925536515)",40.8133593,-73.92553652
303,01M509,Marta Valle High School,Manhattan,"(40.720569079, -73.985672691)",40.72056908,-73.98567269
304,30Q501,Frank Sinatra School of the Arts High School,Queens,"(40.756528074, -73.925140644)",40.75652807,-73.92514064
305,14K071,Juan Morel Campos Secondary School,Brooklyn,"(40.703577361001, -73.953237312)",40.70357736,-73.95323731
306,07X473,Mott Haven Village Preparatory High School,Bronx,"(40.818173536, -73.911092663)",40.81817354,-73.91109266
307,21K690,Brooklyn Studio Secondary School,Brooklyn,"(40.604877000001, -73.994417154)",40.604877,-73.99441715
308,30Q445,William Cullen Bryant High School,Queens,"(40.758124675, -73.910333309)",40.75812468,-73.91033331
309,11X418,Bronx High School for the Visual Arts,Bronx,"(40.851433485, -73.865017959)",40.85143349,-73.86501796
310,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",Bronx,"(40.810405415, -73.906800116)",40.81040542,-73.90680012
311,08X320,Pelham Lab High School,Bronx,"(40.840513977, -73.83812096)",40.84051398,-73.83812096
312,28Q328,High School for Community Leadership,Queens,"(40.713577459, -73.796517825)",40.71357746,-73.79651783
313,12X242,Mott Hall V,Bronx,"(40.831364532, -73.878344675)",40.83136453,-73.87834468
314,21K337,International High School at Lafayette,Brooklyn,"(40.593593811, -73.984729232)",40.59359381,-73.98472923
315,10X342,International School for Liberal Arts,Bronx,"(40.870377467, -73.898162952)",40.87037747,-73.89816295
316,10X243,West Bronx Academy for the Future,Bronx,"(40.860012221, -73.888229604)",40.86001222,-73.8882296
317,18K563,It Takes a Village Academy,Brooklyn,"(40.648663663, -73.921898762)",40.64866366,-73.92189876
318,27Q309,Academy of Medical Technology: A College Board School,Queens,"(40.601989336, -73.762834323)",40.60198934,-73.76283432
319,06M462,The College Academy,Manhattan,"(40.855938307, -73.927029634)",40.85593831,-73.92702963
320,28Q620,Thomas A. Edison Career and Technical Education High School,Queens,"(40.715876261, -73.798822389)",40.71587626,-73.79882239
321,17K539,High School for Service & Learning at Erasmus,Brooklyn,"(40.649439675, -73.958431198)",40.64943968,-73.9584312
322,18K567,Brooklyn Theatre Arts High School,Brooklyn,"(40.63262743, -73.917797989)",40.63262743,-73.91779799
323,08X349,Bronx River High School,Bronx,"(40.840513977, -73.83812096)",40.84051398,-73.83812096
324,02M408,Professional Performing Arts High School,Manhattan,"(40.761432699, -73.988023698)",40.7614327,-73.9880237
325,24Q455,Newtown High School,Queens,"(40.7412052, -73.874729884)",40.7412052,-73.87472988
326,15K423,Brooklyn Frontiers High School,Brooklyn,"(40.690204575, -73.989270375)",40.69020458,-73.98927038
327,13K670,Benjamin Banneker Academy,Brooklyn,"(40.695662413, -73.969286077)",40.69566241,-73.96928608
328,07X221,South Bronx Preparatory: A College Board School,Bronx,"(40.814010816, -73.920836517)",40.81401082,-73.92083652
329,08X312,Millennium Art Academy,Bronx,"(40.822303765, -73.85596139)",40.82230377,-73.85596139
330,10X264,Bronx Academy for Software Engineering (BASE),Bronx,"(40.85592271, -73.88257898)",40.85592271,-73.88257898
331,02M438,International High School at Union Square,Manhattan,"(40.735519463, -73.987604249)",40.73551946,-73.98760425
332,19K683,"The School for Classics: An Academy of Thinkers, Writers and Peformers",Brooklyn,"(40.67068325, -73.87421748)",40.67068325,-73.87421748
