,DBN,School_Name,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,Borough
128,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,1240,20092010,72.5,2562,11.2,11.9,12.2,34.3,50.2,2.6,49,Manhattan
129,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,1240,20102011,68.4,2401,11.8,13.5,11.7,36.6,49,2.5,49.9,Manhattan
130,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,1240,20112012,72.7,2073,10.2,14.1,10.5,39.9,46.6,2.3,49.1,Manhattan
131,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400,1239,20092010,65.8,707,7.9,14.6,5.5,24.3,66.9,3,37.6,Manhattan
132,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400,1239,20102011,76.6,709,10.4,16.6,5.2,22.4,69.3,2.8,37,Manhattan
133,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400,1239,20112012,73,724,9.8,13.7,5.1,22.7,69.9,1.8,40.6,Manhattan
134,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420,1253,20092010,77.7,216,1.9,8.8,1.9,46.8,41.2,8.3,23.1,Manhattan
135,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420,1253,20102011,79.1,213,1.4,7,1.4,48.8,41.3,7.5,23.9,Manhattan
136,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420,1253,20112012,65.3,217,0.5,5.1,1.4,47.9,42.4,7.4,21.2,Manhattan
137,02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344,1058,20092010,93.8,509,81.7,1,0,0,100,0,53.8,Manhattan
138,02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344,1058,20102011,93.8,539,77.9,1.5,0,0,99.8,0,50.1,Manhattan
139,02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344,1058,20112012,83.5,541,72.6,1.7,0.2,0,99.8,0,51.4,Manhattan
140,02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382,1168,20092010,82.5,412,5.6,15,3.9,33,58.7,2.9,39.6,Manhattan
141,02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382,1168,20102011,77.9,415,4.6,16.4,3.4,30.6,62.9,1.4,39.8,Manhattan
142,02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382,1168,20112012,66.1,423,5.4,17.5,3.8,30.3,62.2,2.6,38.3,Manhattan
143,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431,1424,20092010,91.3,324,54,1.5,87,6.8,3.7,1.9,55.6,Manhattan
144,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431,1424,20102011,91.3,339,44.2,1.2,86.4,6.5,2.9,2.9,52.2,Manhattan
145,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431,1424,20112012,82.6,353,38.2,2.3,89.5,3.4,4,2.3,51.3,Manhattan
146,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352,1156,20092010,94.9,420,82.4,3.8,29.3,16.4,37.1,15.2,61,Manhattan
147,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352,1156,20102011,94.9,399,91,2.8,29.1,17.8,39.3,12.5,57.9,Manhattan
148,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352,1156,20112012,79.5,397,90.2,2,25.7,19.9,42.1,11.8,61,Manhattan
149,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384,1212,20092010,85.5,409,12.7,16.9,1.5,37.2,57.7,2.7,54.8,Manhattan
150,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384,1212,20102011,85.5,417,5.3,17.5,1.7,38.6,52.3,7.2,60.2,Manhattan
151,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384,1212,20112012,73.5,430,4.2,17.9,2.3,37.4,49.3,10.2,60.9,Manhattan
152,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512,1547,20092010,46.3,145,0.7,0.7,2.8,33.8,29,29,42.1,Manhattan
153,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512,1547,20102011,45.5,156,0.6,1.3,4.5,34.6,34,26.3,41.7,Manhattan
154,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512,1547,20112012,32.1,157,1.3,0,5.1,33.8,38.2,20.4,40.8,Manhattan
