DBN,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,StartingYear,EndingYear,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,avg_class_size,avg_largest_class,avg_smallest_class,Borough,lat_long,lat,long,Total Grads - % of cohort,Dropped Out - % of cohort,exams_per_student,high_score_percent
02M580,R.R.GREEN HS OF TEACHING,67,117,40,20092010,75.2,614,5.7,16.3,3.4,35.3,57,2,29.5,2009,2010,84,408,384,403,1195,26.08823529,30,21.41176471,Manhattan,"(40.705234939, -74.01331504)",40.70523494,-74.01331504,64.9,11.2,1.7462686567164178,34.18803418803419
02M580,R.R.GREEN HS OF TEACHING,67,117,40,20102011,76,608,6.4,18.8,3.6,37.5,55.3,2.8,30.1,2010,2011,84,408,384,403,1195,26.08823529,30,21.41176471,Manhattan,"(40.705234939, -74.01331504)",40.70523494,-74.01331504,64.9,11.2,1.7462686567164178,34.18803418803419
02M580,R.R.GREEN HS OF TEACHING,67,117,40,20112012,67,610,6.4,21.8,2.3,35.1,59.3,2.3,32.6,2011,2012,84,408,384,403,1195,26.08823529,30,21.41176471,Manhattan,"(40.705234939, -74.01331504)",40.70523494,-74.01331504,64.9,11.2,1.7462686567164178,34.18803418803419
02M600,HS FOR FASHION INDUSTRIES,70,87,26,20092010,76.7,1674,2.8,10.3,4.2,38.8,50.8,4.8,8.1,2009,2010,335,423,423,411,1257,30.60833333,32.75,26.91666667,Manhattan,"(40.745111571, -73.99590642)",40.74511157,-73.99590642,87.7,2.4,1.2428571428571429,29.88505747126437
02M600,HS FOR FASHION INDUSTRIES,70,87,26,20102011,79.1,1634,2.9,11.1,4.1,40.2,50.7,4.3,7.8,2010,2011,335,423,423,411,1257,30.60833333,32.75,26.91666667,Manhattan,"(40.745111571, -73.99590642)",40.74511157,-73.99590642,87.7,2.4,1.2428571428571429,29.88505747126437
02M600,HS FOR FASHION INDUSTRIES,70,87,26,20112012,68.3,1599,2.8,11.5,3.8,39.1,52.3,4.1,7.3,2011,2012,335,423,423,411,1257,30.60833333,32.75,26.91666667,Manhattan,"(40.745111571, -73.99590642)",40.74511157,-73.99590642,87.7,2.4,1.2428571428571429,29.88505747126437
02M615,CHELSEA VHS,52,97,13,20092010,82.6,610,4.8,13.4,3.8,34.1,59.3,2.1,65.7,2009,2010,83,399,418,390,1207,25.2,28.55555556,22.22222222,Manhattan,"(40.724352874, -74.004759292)",40.72435287,-74.00475929,48,24.9,1.8653846153846154,13.402061855670103
02M615,CHELSEA VHS,52,97,13,20102011,80.5,502,5,15.3,6.4,31.9,60.4,1.2,64.9,2010,2011,83,399,418,390,1207,25.2,28.55555556,22.22222222,Manhattan,"(40.724352874, -74.004759292)",40.72435287,-74.00475929,48,24.9,1.8653846153846154,13.402061855670103
02M615,CHELSEA VHS,52,97,13,20112012,69.8,466,6.2,15.7,7.1,29.6,60.5,1.5,65,2011,2012,83,399,418,390,1207,25.2,28.55555556,22.22222222,Manhattan,"(40.724352874, -74.004759292)",40.72435287,-74.00475929,48,24.9,1.8653846153846154,13.402061855670103
02M630,HS OF ART AND DESIGN,84,100,33,20092010,55.1,1387,2.6,10.2,7.1,27.3,52.6,10.5,49,2009,2010,270,444,441,430,1315,28.8875,33.6875,20.5625,Manhattan,"(40.765401541, -73.981768246)",40.76540154,-73.98176825,67.5,6.9,1.1904761904761905,33
02M630,HS OF ART AND DESIGN,84,100,33,20102011,61.9,1283,2.3,9.9,8.7,27.4,50.7,11.8,48,2010,2011,270,444,441,430,1315,28.8875,33.6875,20.5625,Manhattan,"(40.765401541, -73.981768246)",40.76540154,-73.98176825,67.5,6.9,1.1904761904761905,33
02M630,HS OF ART AND DESIGN,84,100,33,20112012,53.3,1344,1.6,11.1,9,26.8,51,12.6,46.7,2011,2012,270,444,441,430,1315,28.8875,33.6875,20.5625,Manhattan,"(40.765401541, -73.981768246)",40.76540154,-73.98176825,67.5,6.9,1.1904761904761905,33
02M655,LIFE SCIENCES SECONDARY SCHL,50,90,10,20092010,77.1,700,6.9,18,2.1,30.3,64.3,1.7,53.4,2009,2010,61,409,424,403,1236,23.92105263,30.52631579,16.68421053,Manhattan,"(40.78364426, -73.945741777)",40.78364426,-73.94574178,79.7,5.9,1.8,11.11111111111111
02M655,LIFE SCIENCES SECONDARY SCHL,50,90,10,20102011,80,674,7.6,19.6,3.4,28.6,64.8,1.6,53.1,2010,2011,61,409,424,403,1236,23.92105263,30.52631579,16.68421053,Manhattan,"(40.78364426, -73.945741777)",40.78364426,-73.94574178,79.7,5.9,1.8,11.11111111111111
