"","DBN","SchoolName","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","StartingYear","EndingYear","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score"
"86","02M655","LIFE SCIENCES SECONDARY SCHL",50,90,10,20102011,80,674,7.6,19.6,3.4,28.6,64.8,1.6,53.1,2010,2011,61,409,424,403,1236
"87","02M655","LIFE SCIENCES SECONDARY SCHL",50,90,10,20112012,70.3,717,7.9,19.7,3.3,28.6,64.3,2.4,51.6,2011,2012,61,409,424,403,1236
"88","03M470","LOUIS D. BRANDEIS HS",48,70,6,20092010,76.1,1562,31.2,7.6,1.9,26.8,69.8,1.1,49.3,2009,2010,131,370,390,358,1118
"89","03M470","LOUIS D. BRANDEIS HS",48,70,6,20102011,76.1,814,29.9,10,1.8,27.3,69.7,1.1,51.4,2010,2011,131,370,390,358,1118
"90","03M470","LOUIS D. BRANDEIS HS",48,70,6,20112012,68.6,291,27.8,10.7,2.1,29.6,67.4,1,50.5,2011,2012,131,370,390,358,1118
"91","03M479","BEACON SCHOOL",166,197,140,20092010,19.8,1144,0.2,5.2,7.4,13.7,21.6,52.6,39.6,2009,2010,261,577,575,592,1744
"92","03M479","BEACON SCHOOL",166,197,140,20102011,21.3,1159,0.3,4.8,8.1,16,23.1,52.3,40.6,2010,2011,261,577,575,592,1744
"93","03M479","BEACON SCHOOL",166,197,140,20112012,18.4,1162,0.2,3.7,8.9,14.6,22.8,49.8,39,2011,2012,261,577,575,592,1744
"94","03M485","FIORELLO H.LAGUARDIA HS",691,1236,790,20092010,29.5,2527,0.1,1.1,19.7,15.7,17,46.5,25.2,2009,2010,531,566,564,577,1707
"95","03M485","FIORELLO H.LAGUARDIA HS",691,1236,790,20102011,26.9,2545,0,1,19.9,14.5,17,47.7,26.7,2010,2011,531,566,564,577,1707
"96","03M485","FIORELLO H.LAGUARDIA HS",691,1236,790,20112012,21.7,2605,0.2,1,19.6,12.9,16.6,49.2,26.4,2011,2012,531,566,564,577,1707
"97","03M494","MLK, JR HS FOR ARTS & TECH",38,38,6,20092010,76.4,593,9.1,14.2,3.7,38.8,54,2.4,68,2009,2010,75,433,433,411,1277
"98","03M494","MLK, JR HS FOR ARTS & TECH",38,38,6,20102011,83.2,585,9.4,14.2,4.6,36.1,56.9,1.9,69.1,2010,2011,75,433,433,411,1277
"99","03M494","MLK, JR HS FOR ARTS & TECH",38,38,6,20112012,79.8,603,10.4,17.2,5,34.8,57.2,2.3,67.7,2011,2012,75,433,433,411,1277
"100","04M435","MANHATTAN CENTER-SCIENCE&MATH",328,426,261,20092010,77.1,1696,5.5,8,19.2,21.3,56,2.7,45.6,2009,2010,375,461,514,455,1430
"101","04M435","MANHATTAN CENTER-SCIENCE&MATH",328,426,261,20102011,79.2,1711,4.3,6.4,19.9,20.4,57.2,2,46.1,2010,2011,375,461,514,455,1430
"102","04M435","MANHATTAN CENTER-SCIENCE&MATH",328,426,261,20112012,71.6,1650,2.7,5.8,20.1,19.7,57.4,2.2,46.4,2011,2012,375,461,514,455,1430
"103","04M610","THE YOUNG WOMEN'S LEADERSHIP SCHOOL OF EAST HARLEM",41,55,29,20092010,82.9,437,1.6,6.2,4.1,34.1,58.4,0.7,0,2009,2010,70,432,446,448,1326
"104","04M610","THE YOUNG WOMEN'S LEADERSHIP SCHOOL OF EAST HARLEM",41,55,29,20102011,79.2,450,1.6,5.6,4.7,35.1,58.2,1.6,0,2010,2011,70,432,446,448,1326
"105","04M610","THE YOUNG WOMEN'S LEADERSHIP SCHOOL OF EAST HARLEM",41,55,29,20112012,67.3,449,2.2,6.7,5.1,31.2,60.1,1.6,0,2011,2012,70,432,446,448,1326
"106","05M499","FREDRICK DOUGLAS SEC. SCHOOL",163,226,159,20092010,71.8,1596,1.2,6.9,1.3,72.6,24.2,0.7,48.2,2009,2010,214,458,474,442,1374
"107","05M499","FREDRICK DOUGLAS SEC. SCHOOL",163,226,159,20102011,67,1543,1.6,6.6,1.1,75,22.9,0.9,49.4,2010,2011,214,458,474,442,1374
"108","05M499","FREDRICK DOUGLAS SEC. SCHOOL",163,226,159,20112012,57.6,1556,2.4,8.9,1.2,74.4,22.8,1.3,52.2,2011,2012,214,458,474,442,1374
"109","05M692","HIGH SCHOOL FOR MATH SCIENCE ENGINEERING @ CCNY",114,124,71,20112012,18.5,406,0,0,36.2,15,21.2,26.1,65.8,2011,2012,101,605,654,588,1847
"110","06M462","H.S. INT'L BUSINESS & FINANCE",108,135,43,20092010,91.6,666,35.6,12.8,0.6,7.4,89.9,1.1,58.1,2009,2010,76,365,384,378,1127
"111","06M462","H.S. INT'L BUSINESS & FINANCE",108,135,43,20102011,92.3,644,38.5,15.1,0.3,5.6,90.7,1.4,60.1,2010,2011,76,365,384,378,1127
"112","06M462","H.S. INT'L BUSINESS & FINANCE",108,135,43,20112012,89.3,630,43,13.7,0.5,5.2,91.4,1.4,63.8,2011,2012,76,365,384,378,1127
"113","06M467","H.S. LAW & PUBLIC SERVICE",141,212,82,20092010,66,678,24.8,13.6,0.3,10.3,88.3,1,52.7,2009,2010,94,363,378,361,1102
"114","06M467","H.S. LAW & PUBLIC SERVICE",141,212,82,20102011,70.3,665,28.6,15.3,0.8,12.9,85.3,1.1,53.8,2010,2011,94,363,378,361,1102
"115","06M467","H.S. LAW & PUBLIC SERVICE",141,212,82,20112012,72.5,694,32,16.7,1,13,84.4,1.3,58.6,2011,2012,94,363,378,361,1102
