,DBN,SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class
342,16K688,The Brooklyn Academy of Global Finance,21.475,25.5,17.25
343,17K002,M.S. 002,19,20,18
344,17K061,M.S. 061 Dr. Gladstone H. Atwell,28.5,29,28
345,17K181,P.S. 181 Brooklyn,30,32,28
346,17K340,I.S. 340,26.1,30,20
347,17K353,Elijah Stroud Middle School,18,19.5,16
348,17K354,The School of Integrated Learning,21,21,21
349,17K382,Academy for College Preparation and Career Exploration: A College Board School,24.81333333,28.8,21.4
350,17K394,M.S. K394,28.5,29,28
351,17K408,Academy of Hospitality and Tourism,25.14166667,30.83333333,18.83333333
352,17K489,W.E.B. Dubois Academic High School,22.33,26.5,16.6
353,17K524,International High School at Prospect Heights,23.79230769,26,20.46153846
354,17K528,The High School for Global Citizenship,26.39375,30.3125,20.25
355,17K531,"School for Human Rights, The",30.9375,32.5625,29.125
356,17K533,School for Democracy and Leadership,23.24285714,26.35714286,19.85714286
357,17K537,High School for Youth and Community Development at Erasmus,23.02,27.53333333,17.73333333
358,17K539,High School for Service & Learning at Erasmus,27.87333333,31.73333333,22.8
359,17K543,"Science, Technology and Research Early College High School at Erasmus",23.09285714,28,17.64285714
360,17K544,International Arts Business School,22.54,27.8,16.26666667
361,17K546,High School for Public Service: Heroes of Tomorrow,23.11666667,26.11111111,19
362,17K547,Brooklyn Academy of Science and the Environment,21.38571429,25.14285714,16.35714286
363,17K548,Brooklyn School for Music & Theatre,26.0875,30.0625,21.125
364,17K568,Brownsville Academy High School,17.75454545,22.63636364,13.72727273
365,17K587,Middle School for the Arts,28.63333333,31.66666667,25
366,17K590,Medgar Evers College Preparatory School,27.57647059,36.17647059,18.11764706
367,17K600,Clara Barton High School,29.25,35.05555556,21.27777778
368,17K625,Paul Robeson High School,24.88125,28.8125,19.5625
369,18K068,I.S. 068 Isaac Bildersee,27.4,30,19
370,18K211,I.S. 211 John Wilson,26.5,30,24
371,18K285,I.S. 285 Meyer Levin,25.075,25.75,24.25
372,18K500,Canarsie High School,21.38888889,24.44444444,17.88888889
373,18K563,It Takes a Village Academy,20.83157895,27.57894737,15.63157895
374,18K566,Brooklyn Generation School,19.93333333,22.58333333,17.41666667
375,18K567,Brooklyn Theatre Arts High School,26.06666667,28.2,23.13333333
376,18K569,Kurt Hahn Expeditionary Learning School,26.125,28.5,23.0625
377,18K576,Victory Collegiate High School,25.01111111,28.22222222,22.33333333
378,18K578,Brooklyn Bridge Academy,16.9375,21,13.5
379,18K588,Middle School for Art and Philosophy,15,15,15
380,18K589,Arts & Media Preparatory Academy,20.05,21.78571429,18.28571429
381,18K617,High School for Innovation in Advertising and Media,19.625,25.08333333,14.58333333
382,18K629,Cultural Academy for the Arts and Sciences,18.37272727,21.45454545,15.45454545
383,18K633,High School for Medical Professions,26.95,30.8125,23.0625
384,18K635,Olympus Academy,14.9,17.4,13
385,18K637,Academy for Conservation and the Environment,19.6,22.33333333,17
386,18K642,Urban Action Academy,20.5625,23.375,17
387,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,18.8,18.8,18.8
388,19K089,P.S. 089 Cypress Hills,15.5,17,14
389,19K166,J.H.S. 166 George Gershwin,18,18,18
390,19K218,J.H.S. 218 James P. Sinnott,37.75,38,37.5
391,19K292,J.H.S. 292 Margaret S. Douglas,38.3,59,24
392,19K364,I.S. 364 Gateway,28.9,30,25
393,19K409,East New York Family Academy,19.12105263,20.89473684,17.26315789
394,19K420,Franklin K. Lane High School,19.54285714,22.35714286,17.14285714
395,19K502,FDNY High School for Fire and Life Safety,23.52,28.26666667,18.33333333
396,19K504,High School for Civil Rights,26.16666667,30.06666667,22.4
397,19K507,Performing Arts and Technology High School,24.61428571,28.92857143,17.57142857
398,19K510,World Academy for Total Community Health High School,23.99375,29.125,19.0625
399,19K583,Multicultural High School,23.80833333,27.66666667,19.5
