"","DBN","School_Name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","Borough","lat_long","lat","long"
"88","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20052006,NA,208,6.7,8.2,4.8,27.4,55.3,4.3,70.2,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"89","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20062007,NA,307,7.5,6.8,4.2,25.4,61.9,4.2,68.4,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"90","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20072008,NA,389,10.8,11.3,5.4,24.4,63,5.4,71.2,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"91","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20082009,NA,384,8.1,13.5,4.4,25,65.1,4.9,74.7,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"92","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20092010,72.8,367,11.7,15.8,4.6,23.7,65.9,5.7,74.1,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"93","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20102011,83.3,393,11.5,19.6,5.1,25.7,62.3,5.1,74.3,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"94","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20112012,75.3,431,10.9,20,6,29.2,59.2,4.9,74.9,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"95","02M303","FACING HISTORY SCHOOL, THE",76,353,358,340,1051,20052006,NA,114,17.5,14.9,2.6,25.4,64,3.5,63.2,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"96","02M303","FACING HISTORY SCHOOL, THE",76,353,358,340,1051,20062007,NA,216,11.6,17.6,2.3,31.5,60.6,2.8,56.5,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"97","02M303","FACING HISTORY SCHOOL, THE",76,353,358,340,1051,20072008,NA,320,12.8,20,3.1,32.5,61.6,1.9,53.4,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"98","02M303","FACING HISTORY SCHOOL, THE",76,353,358,340,1051,20082009,NA,416,14.9,20.4,2.4,30.3,65.4,1.7,50.7,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"99","02M303","FACING HISTORY SCHOOL, THE",76,353,358,340,1051,20092010,85.9,401,14.7,20.4,2,31.2,65.1,0.7,50.4,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"100","02M303","FACING HISTORY SCHOOL, THE",76,353,358,340,1051,20102011,83.8,412,19.9,23.1,1.2,25.7,70.4,2.4,49.8,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"101","02M303","FACING HISTORY SCHOOL, THE",76,353,358,340,1051,20112012,75.6,451,20.8,21.7,0.7,23.5,73.2,2.4,50.6,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"102","02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,20052006,NA,82,2.4,11,6.1,39,42.7,11,53.7,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"103","02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,20062007,NA,170,0.6,8.2,4.1,41.8,41.8,9.4,47.1,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"104","02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,20072008,NA,253,2.4,12.3,3.6,43.9,44.7,7.5,44.3,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"105","02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,20082009,NA,283,2.5,12,3.2,44.9,45.6,5.7,43.1,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"106","02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,20092010,71.9,284,5.6,13.7,3.2,41.9,50,4.2,40.8,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"107","02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,20102011,73.4,290,5.9,14.5,3.1,41.7,52.4,2.4,40.7,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"108","02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,20112012,68.3,312,6.1,17,3.8,41.7,50.6,3.5,43.9,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"109","02M308","LOWER MANHATTAN ARTS ACADEMY",40,403,392,405,1200,20052006,NA,83,1.2,16.9,8.4,47,36.1,3.6,44.6,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"110","02M308","LOWER MANHATTAN ARTS ACADEMY",40,403,392,405,1200,20062007,NA,162,1.9,17.3,4.9,34.6,49.4,8,45.7,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"111","02M308","LOWER MANHATTAN ARTS ACADEMY",40,403,392,405,1200,20072008,NA,241,3.3,20.7,5,33.2,52.3,7.1,39.4,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"112","02M308","LOWER MANHATTAN ARTS ACADEMY",40,403,392,405,1200,20082009,NA,296,4.7,22,7.8,34.5,51,5.7,39.5,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"113","02M308","LOWER MANHATTAN ARTS ACADEMY",40,403,392,405,1200,20092010,75.6,311,4.8,26,8.4,31.8,51.1,4.8,39.2,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"114","02M308","LOWER MANHATTAN ARTS ACADEMY",40,403,392,405,1200,20102011,77,324,5.2,27.2,9.6,30.9,55.2,3.4,41.4,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"115","02M308","LOWER MANHATTAN ARTS ACADEMY",40,403,392,405,1200,20112012,62.2,336,3.9,24.7,9.5,30.7,55.7,3.6,39.9,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"116","02M313","JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188,20052006,NA,83,4.8,7.2,2.4,41,44.6,8.4,42.2,NA,NA,NA,NA
